300001 a  2  0 -2  2  0  - -3 -1 -1  -2  10  -1  -2   4   +  12   4  -3 -15  16   9 -15  -9  18  -5 +(491)
300003 a  1  +  2  4  +  2 -4  6 -8  -6  -8 -10 -10 -12   4 -10   4  -8 -12   8 -16   4   0  14 -14 -(9091)
300005 a  0  0  +  1 -3  4  6 -1 -6   -   2   3 -10   8   0   8 -13   2  13   0   5 -16   9 -15  17 -(2069)
300006 a  +  + -2  - -2  0  0 -4  4  10   8   8   6  -4  -8 -10  -2  -8   4  16  10   8   4  12   2 -(2381)
300006 b  -  - -4  +  6  4  4  4  6   2  -8  -2   2   8   8 -10   0   4   8  14  -4   8  -4   0  18 -(2381)
300006 c  -  +  2  -  2  0  0 -4 -4 -10   8   8  -6  -4   8  10   2  -8   4 -16  10   8  -4 -12   2 +(2381)
300008 a  - -1 -4  0 -4 -2  1  6  9   0   5  -6  -2  -4   8  10   3  10   6   1 -10  -6   3   7   8 -(37501)
300008 b  -  0  2  0 -3 -4 -3 -7 -6  -6  -8   6   0  11   9  -9   4  -2   5   6   4  -3   0   6 -12 -(37501)
300010 a  + -2  + -3  0  2  4  + -4  -6   8   5  -5  -8  11   6  12  -5  11  12   4 -11   7  -8   2 +(1579)
300010 b  -  0  - -2 -4  2 -6  + -4   6  -4   8   6   2   6   0 -12  -2  10   0   2   0   0  -6  -8 +(1579)
300011 a -1  2  4 -2 -4 -6 -2 -8  0   0  -8   2   6   +   0   6 -12   4  12  12   8   0  16  -4  18 +(6977)
300012 a  -  +  0 -1  2  2 -5 -5  +  -6  -4   2  10   8 -12   4   9  14  12   4   7 -14 -12  14   7 -(1087)
300014 a  + -1  3  2  -  - -7 -2  2   6   1   8  -2  -7  11   6  -5  10  14   0  -7  -8  12  14  -4 -(1049)
300014 b  +  2  2  2  -  -  4 -8  6   2  -4   8  -2  12   4   6  -4 -10 -16 -12   2 -16  -6   0  -2 +(1049)
300014 c  - -3  3  2  -  +  1  2  6   2  -5   8  10   3  -7  14   3   6   2   0   3   0 -12  10   0 -(1049)
300014 d  -  0 -2  4  -  -  0  8  2   6  -2  -8  12  12  -2  -2  12  10  -8  -6   2   8 -10   2   2 +(1049)
300014 e  -  0  2  2  -  + -2  4  2   6 -10   4  -6   4  -6  -2   4  -6   0   6  10   4   4   6  14 -(1049)
300014 f  -  1 -3 -4  +  -  3 -7 -3  -6  -7   2   6  11   3   6 -12   2  -4   0  -4 -16  -6 -12  -7 +(1049)
300015 a -2  +  +  2  3  1  0  4 -4  -6  -6  -2  -6   0  -9   7   -  10  14  13   6 -14  -6  -6  11 -(113)
300015 b -2  -  +  4 -3  7 -3 -3 -6  -4   8  -3   0 -13   6  -3   +   6  -7  -6   1  -3  -2  -1  -2 -(113)
300015 c -1  -  +  1 -6  2  7  5  4   8  -4  -7   3   2  12  -8   +  -1   4   3   9  12  -9  -2  -4 +(113)
300015 d -1  -  +  2  4 -5  7  2 -2   6   2   6   6  -2  12  12   -  14   8   8 -14   0  -9 -15 -11 -(113)
300015 e  0  -  -  2  5 -1  4  6 -8  -2   8  -2   0  -2   3 -13   -   8  -8  -1  -4 -12  -8 -16   5 -(113)
300015 f  1  -  + -2  6  1  3  6  0  -4  -4  -6  -6  -4   0  -6   +  -6   8   6  16   6   1 -13   7 -(113)
300015 g  2  -  - -1 -4 -4 -2  0  7   6  -8  -9   6  -1   0  -1   +   0  13 -16  -1 -12   0   6   2 -(113)
300015 h  2  +  -  2 -3  1  0  4  4   6  -6  -2   6   0   9  -7   +  10  14 -13   6 -14   6   6  11 +(113)
300016 a  - -2  2  0  0  4  +  6  8  -4   0   4  -2   4   8  -6  -6   4  -8  16 -14   0  -4  -6  14 +(1103)
300016 b  - -1  0  0 -2  1  - -5  4   5   1  -2 -10   6 -13   2   7 -10  -2   1 -12  -1   8 -18   8 -(1103)
300016 c  -  0  0  2  2  6  +  0 -8  -6 -10 -10  -6 -12   8   2  -4 -10   4  -6 -14 -14 -12   6  -6 +(1103)
