Program tmanin_prof.  Using METHOD = 2 to find newforms
MODULUS for linear algebra = 1073741789

>>>Level 239463:	18 newform(s) found.

>>>Level 239464:	3 newform(s) found.

>>>Level 239465:	1 newform(s) found.

>>>Level 239466:	2 newform(s) found.

>>>Level 239467:	1 newform(s) found.

>>>Level 239468:	0 newform(s) found.

>>>Level 239469:	0 newform(s) found.

>>>Level 239470:	19 newform(s) found.

>>>Level 239471:	0 newform(s) found.

>>>Level 239472:	9 newform(s) found.

>>>Level 239473:	0 newform(s) found.

>>>Level 239474:	1 newform(s) found.

>>>Level 239475:	9 newform(s) found.

>>>Level 239476:	4 newform(s) found.

>>>Level 239477:	0 newform(s) found.

>>>Level 239478:	8 newform(s) found.

>>>Level 239479:	0 newform(s) found.

>>>Level 239480:	2 newform(s) found.

>>>Level 239481:	11 newform(s) found.

>>>Level 239482:	2 newform(s) found.

>>>Level 239483:	0 newform(s) found.
