Verbose? (0/1) 
Enter first and last N: 
>>> Level 11 <<< 1 newform(s), 25 eigs on file.
>>> Level 12 <<< 0 newform(s), 0 eigs on file.
>>> Level 13 <<< 0 newform(s), 0 eigs on file.
>>> Level 14 <<< 1 newform(s), 25 eigs on file.
>>> Level 15 <<< 1 newform(s), 25 eigs on file.
>>> Level 16 <<< 0 newform(s), 0 eigs on file.
>>> Level 17 <<< 1 newform(s), 25 eigs on file.
>>> Level 18 <<< 0 newform(s), 0 eigs on file.
>>> Level 19 <<< 1 newform(s), 25 eigs on file.
>>> Level 20 <<< 1 newform(s), 25 eigs on file.
>>> Level 21 <<< 1 newform(s), 25 eigs on file.
>>> Level 22 <<< 0 newform(s), 0 eigs on file.
>>> Level 23 <<< 0 newform(s), 0 eigs on file.
>>> Level 24 <<< 1 newform(s), 25 eigs on file.
>>> Level 25 <<< 0 newform(s), 0 eigs on file.
>>> Level 26 <<< 2 newform(s), 25 eigs on file.
>>> Level 27 <<< 1 newform(s), 25 eigs on file.
>>> Level 28 <<< 0 newform(s), 0 eigs on file.
>>> Level 29 <<< 0 newform(s), 0 eigs on file.
>>> Level 30 <<< 1 newform(s), 25 eigs on file.
>>> Level 31 <<< 0 newform(s), 0 eigs on file.
>>> Level 32 <<< 1 newform(s), 25 eigs on file.
>>> Level 33 <<< 1 newform(s), 25 eigs on file.
>>> Level 34 <<< 1 newform(s), 25 eigs on file.
>>> Level 35 <<< 1 newform(s), 25 eigs on file.
>>> Level 36 <<< 1 newform(s), 25 eigs on file.
>>> Level 37 <<< 2 newform(s), 25 eigs on file.
>>> Level 38 <<< 2 newform(s), 25 eigs on file.
>>> Level 39 <<< 1 newform(s), 25 eigs on file.
>>> Level 40 <<< 1 newform(s), 25 eigs on file.
>>> Level 41 <<< 0 newform(s), 0 eigs on file.
>>> Level 42 <<< 1 newform(s), 25 eigs on file.
>>> Level 43 <<< 1 newform(s), 25 eigs on file.
>>> Level 44 <<< 1 newform(s), 25 eigs on file.
>>> Level 45 <<< 1 newform(s), 25 eigs on file.
>>> Level 46 <<< 1 newform(s), 25 eigs on file.
>>> Level 47 <<< 0 newform(s), 0 eigs on file.
>>> Level 48 <<< 1 newform(s), 25 eigs on file.
>>> Level 49 <<< 1 newform(s), 25 eigs on file.
>>> Level 50 <<< 2 newform(s), 25 eigs on file.
>>> Level 51 <<< 1 newform(s), 25 eigs on file.
>>> Level 52 <<< 1 newform(s), 25 eigs on file.
>>> Level 53 <<< 1 newform(s), 25 eigs on file.
>>> Level 54 <<< 2 newform(s), 25 eigs on file.
>>> Level 55 <<< 1 newform(s), 25 eigs on file.
>>> Level 56 <<< 2 newform(s), 25 eigs on file.
>>> Level 57 <<< 3 newform(s), 25 eigs on file.
>>> Level 58 <<< 2 newform(s), 25 eigs on file.
>>> Level 59 <<< 0 newform(s), 0 eigs on file.
>>> Level 60 <<< 0 newform(s), 0 eigs on file.
>>> Level 61 <<< 1 newform(s), 25 eigs on file.
>>> Level 62 <<< 1 newform(s), 25 eigs on file.
>>> Level 63 <<< 1 newform(s), 25 eigs on file.
>>> Level 64 <<< 1 newform(s), 25 eigs on file.
>>> Level 65 <<< 1 newform(s), 25 eigs on file.
>>> Level 66 <<< 3 newform(s), 25 eigs on file.
>>> Level 67 <<< 1 newform(s), 25 eigs on file.
>>> Level 68 <<< 0 newform(s), 0 eigs on file.
>>> Level 69 <<< 1 newform(s), 25 eigs on file.
>>> Level 70 <<< 1 newform(s), 25 eigs on file.
>>> Level 71 <<< 0 newform(s), 0 eigs on file.
>>> Level 72 <<< 1 newform(s), 25 eigs on file.
>>> Level 73 <<< 1 newform(s), 25 eigs on file.
>>> Level 74 <<< 0 newform(s), 0 eigs on file.
>>> Level 75 <<< 3 newform(s), 25 eigs on file.
>>> Level 76 <<< 1 newform(s), 25 eigs on file.
>>> Level 77 <<< 3 newform(s), 25 eigs on file.
>>> Level 78 <<< 1 newform(s), 25 eigs on file.
>>> Level 79 <<< 1 newform(s), 25 eigs on file.
>>> Level 80 <<< 2 newform(s), 25 eigs on file.
>>> Level 81 <<< 0 newform(s), 0 eigs on file.
>>> Level 82 <<< 1 newform(s), 25 eigs on file.
>>> Level 83 <<< 1 newform(s), 25 eigs on file.
>>> Level 84 <<< 2 newform(s), 25 eigs on file.
>>> Level 85 <<< 1 newform(s), 25 eigs on file.
>>> Level 86 <<< 0 newform(s), 0 eigs on file.
>>> Level 87 <<< 0 newform(s), 0 eigs on file.
>>> Level 88 <<< 1 newform(s), 25 eigs on file.
>>> Level 89 <<< 2 newform(s), 25 eigs on file.
>>> Level 90 <<< 3 newform(s), 25 eigs on file.
>>> Level 91 <<< 2 newform(s), 25 eigs on file.
>>> Level 92 <<< 2 newform(s), 25 eigs on file.
>>> Level 93 <<< 0 newform(s), 0 eigs on file.
>>> Level 94 <<< 1 newform(s), 25 eigs on file.
>>> Level 95 <<< 0 newform(s), 0 eigs on file.
>>> Level 96 <<< 2 newform(s), 25 eigs on file.
>>> Level 97 <<< 0 newform(s), 0 eigs on file.
>>> Level 98 <<< 1 newform(s), 25 eigs on file.
>>> Level 99 <<< 4 newform(s), 25 eigs on file.
>>> Level 100 <<< 1 newform(s), 25 eigs on file.
>>> Level 101 <<< 1 newform(s), 25 eigs on file.
>>> Level 102 <<< 3 newform(s), 25 eigs on file.
>>> Level 103 <<< 0 newform(s), 0 eigs on file.
>>> Level 104 <<< 1 newform(s), 25 eigs on file.
>>> Level 105 <<< 1 newform(s), 25 eigs on file.
>>> Level 106 <<< 4 newform(s), 25 eigs on file.
>>> Level 107 <<< 0 newform(s), 0 eigs on file.
>>> Level 108 <<< 1 newform(s), 25 eigs on file.
>>> Level 109 <<< 1 newform(s), 25 eigs on file.
>>> Level 110 <<< 3 newform(s), 25 eigs on file.
>>> Level 111 <<< 0 newform(s), 0 eigs on file.
>>> Level 112 <<< 3 newform(s), 25 eigs on file.
>>> Level 113 <<< 1 newform(s), 25 eigs on file.
>>> Level 114 <<< 3 newform(s), 25 eigs on file.
>>> Level 115 <<< 1 newform(s), 25 eigs on file.
>>> Level 116 <<< 3 newform(s), 25 eigs on file.
>>> Level 117 <<< 1 newform(s), 25 eigs on file.
>>> Level 118 <<< 4 newform(s), 25 eigs on file.
>>> Level 119 <<< 0 newform(s), 0 eigs on file.
>>> Level 120 <<< 2 newform(s), 25 eigs on file.
>>> Level 121 <<< 4 newform(s), 25 eigs on file.
>>> Level 122 <<< 1 newform(s), 25 eigs on file.
>>> Level 123 <<< 2 newform(s), 25 eigs on file.
>>> Level 124 <<< 2 newform(s), 25 eigs on file.
>>> Level 125 <<< 0 newform(s), 0 eigs on file.
